,date,sentence,label,score
0,2022-08-30 23:59:58+00:00,Her Fetus Has No Skull. She Wants the Abortion Nonsense to Stop.  via ,not sexist,0.9934579730033875
1,2022-08-30 23:59:57+00:00," Let's look at premature babies, then. Now, let's look at abortion procedures for a fetus at the same stage of development.
""Remind me again what you were saying?""",not sexist,0.997140645980835
2,2022-08-30 23:59:56+00:00, PLEASE CALL A SPECIAL SESSION FOR LEGISLATORS TO FIX THIS INHUMANE ABORTION LAW NOW!!! ,not sexist,0.998854398727417
3,2022-08-30 23:59:53+00:00," Well we are discounting that there is a possibility of success intrinsic in all of humanity. This is my issue with Pro Abortion positions, they assign a value to an unknown. Were you to look at my HS dropout grandfather you might not think his daughter would have gotten a MFA.",not sexist,0.9982811212539673
4,2022-08-30 23:59:46+00:00," What is there to explain?. Abortion is a choice and it's a woman's choice, please keep America open, God loves openness.",not sexist,0.9915258288383484
5,2022-08-30 23:59:33+00:00,Fûck Louisiana’s abortion ban!,not sexist,0.9992740750312805
6,2022-08-30 23:59:33+00:00,I wish I was fucking dead. Or that I'd been an abortion.,not sexist,0.8694953918457031
7,2022-08-30 23:59:32+00:00,California Senate Passes Bill Allowing Trained Nurses To Perform Abortions Without Doctor Present ,not sexist,0.9983494281768799
8,2022-08-30 23:59:26+00:00,"Big news in Indiana today.
The GOPs plan to kill women hit a snag.
Turns out the Indiana Constitution includes the right to privacy and equal privileges protections, which the new abortion ban violates.
A lawsuit was filed today. 
",not sexist,0.9962072372436523
9,2022-08-30 23:59:25+00:00, What the hell is partial birth abortion,not sexist,0.9986341595649719
10,2022-08-30 23:59:20+00:00,  I absolutely care for people. You cannot truthfully say that I don't. Because you don't know me. You can choose to be anti-life but please don't ignore the truth of how elective abortions end &amp; ruin lives.,not sexist,0.9984739422798157
11,2022-08-30 23:59:12+00:00,"It’s happening everywhere…

It is so cruel to deny a woman with a miscarriage a removal because of abortion ban… it’s terrible   ",not sexist,0.9992780089378357
